PK_PROGRESSIVO;FK_PARAM_PROGETTO;FK_TIPO_COSTO;FLAG_ATTIVO;DATA_IN;DATA_FI;BUDGET;BUDGET_UTILIZZATO;QUOTA_DETRAIBILE;BUDGET_TMP_CALCOLI;GG_TMP;BUDGET_GG_TMP;DATA_IN_TMP;FK_ANAG
6;3;8;S;2023/01/01;2025/12/31;100000;0;100;0;1095;91,324200913242;2024/04/23;0
7;3;14;S;2023/01/01;2024/10/31;250000;10630;100;0;669;373,692077727952;2023/01/01;0
8;3;15;S;2023/01/01;2025/12/31;20000;2200;100;0;1095;18,2648401826484;2023/01/01;0
9;3;16;S;2023/01/01;2025/12/31;5000;0;50;0;1095;4,5662100456621;2023/01/01;0
10;3;18;S;2023/01/01;2025/12/31;25000;12371,25;75;0;1095;22,8310502283105;2023/01/01;0
12;3;20;S;2023/01/01;2023/06/30;18500;3035,91;75;0;180;102,777777777778;2023/01/01;0
13;3;23;S;2023/01/01;2025/12/31;5000;37,5;50;0;1095;4,5662100456621;2024/04/23;0
14;3;24;S;2023/01/01;2025/12/31;2500;0;50;0;1095;2,28310502283105;2023/01/01;0
15;4;8;S;2022/09/01;2023/12/31;3353;0;100;0;486;6,89917695473251;1858/11/17;0
16;4;14;S;2022/09/01;2023/12/31;20000;1000;100;0;486;41,1522633744856;2024/07/18;18
104;4;15;N;2022/09/01;2023/12/31;10;0;100;0;486;0,0205761316872428;2024/07/18;0
111;4;19;S;2022/09/01;2023/12/31;30;0;100;0;486;0,0617283950617284;2024/07/16;0
